Sale_ID,Appt_ID,Transaction_Date,Total_Charge,Payment_Type,Credit_Transaction
1,1,04/28/2014,105.52,Amex,180.246.129.70
2,2,05/27/2022,248.41,Cash,
3,3,01/24/2014,231.94,Cash,
4,4,03/14/2023,95.83,Amex,236.207.53.16
5,5,03/02/2022,279.14,Mastercard,10.46.165.91
6,6,04/14/2014,60.95,Mastercard,185.233.141.124
7,7,06/13/2020,99.53,Mastercard,129.210.251.105
8,8,01/15/2019,268.83,Amex,64.20.92.36
9,9,11/11/2014,45.39,Venmo,253.188.106.241
10,10,07/15/2019,52.77,Mastercard,66.89.156.177
11,11,10/25/2016,91.43,Visa,166.159.71.128
12,12,03/23/2018,46.13,Cash,
13,13,12/18/2023,190.11,Cash,
14,14,08/20/2016,95.05,Amex,179.120.239.174
15,15,03/14/2019,169.82,Amex,112.254.24.230
16,16,09/12/2023,192.06,Cash,
17,17,10/08/2016,152.67,Visa,188.172.177.205
18,18,06/02/2019,284.05,Venmo,142.1.9.121
19,19,02/08/2022,110.90,Venmo,7.249.127.155
20,20,08/06/2018,36.48,Cash,
21,21,03/26/2014,267.38,Amex,160.22.101.204
22,22,03/17/2022,117.66,Mastercard,56.154.151.116
23,23,07/29/2020,33.39,Amex,32.104.42.56
24,24,05/11/2023,130.66,Visa,25.159.214.75
25,25,06/15/2021,199.88,Mastercard,239.55.156.224
26,26,12/17/2022,150.53,Mastercard,141.88.166.168
27,27,09/24/2021,186.88,Venmo,251.174.129.212
28,28,05/02/2021,49.70,Visa,10.109.50.155
29,29,08/24/2017,57.38,Venmo,216.82.250.69
30,30,01/24/2019,149.73,Visa,80.63.144.165
31,31,06/10/2018,60.91,Visa,34.183.35.90
32,32,07/03/2022,152.17,Cash,
33,33,02/04/2019,52.99,Amex,92.202.47.96
34,34,10/04/2018,91.64,Mastercard,212.244.240.145
35,35,09/27/2020,157.15,Mastercard,158.72.219.140
36,36,12/27/2015,60.95,Venmo,123.228.145.48
37,37,09/05/2020,291.74,Cash,
38,38,01/28/2023,276.65,Mastercard,64.52.223.210
39,39,10/02/2015,255.48,Visa,210.186.79.221
40,40,12/05/2021,246.99,Mastercard,183.18.46.169
41,41,09/15/2017,183.09,Mastercard,231.68.217.209
42,42,07/24/2019,245.21,Cash,
43,43,05/23/2023,37.27,Mastercard,224.132.92.199
44,44,11/12/2020,179.55,Mastercard,99.73.75.241
45,45,11/19/2015,263.09,Mastercard,89.213.176.192
46,46,04/30/2018,257.49,Mastercard,215.112.8.79
47,47,12/17/2015,156.64,Venmo,227.147.77.216
48,48,07/27/2014,297.79,Amex,144.149.10.23
49,49,09/24/2018,183.12,Mastercard,123.34.6.237
50,50,01/31/2018,236.96,Visa,142.219.92.75
51,51,01/18/2019,156.34,Visa,53.50.123.186
52,52,10/15/2019,46.37,Venmo,152.11.254.3
53,53,12/21/2020,62.72,Venmo,32.87.131.97
54,54,12/07/2015,259.07,Amex,0.117.178.197
55,55,02/19/2014,257.27,Cash,
56,56,02/23/2017,265.55,Cash,
57,57,04/22/2024,292.53,Venmo,219.60.249.2
58,58,11/23/2015,59.97,Cash,
59,59,05/02/2014,177.01,Visa,42.45.210.33
60,60,01/16/2016,79.00,Visa,2.155.17.217
61,61,02/01/2020,216.46,Cash,
62,62,01/10/2021,199.60,Venmo,6.86.64.114
63,63,09/16/2017,238.62,Cash,
64,64,11/13/2019,243.69,Mastercard,224.7.77.179
65,65,12/13/2018,108.94,Mastercard,216.155.156.66
66,66,05/01/2020,32.83,Venmo,51.18.107.134
67,67,03/17/2020,97.85,Cash,
68,68,03/11/2021,76.97,Visa,76.136.47.237
69,69,04/13/2019,64.47,Mastercard,100.74.62.176
70,70,05/08/2024,185.56,Venmo,16.46.49.242
71,71,12/14/2017,82.24,Amex,68.254.9.61
72,72,07/17/2015,243.03,Venmo,234.175.29.145
73,73,03/12/2024,163.92,Cash,
74,74,01/22/2016,158.08,Cash,
75,75,01/28/2022,272.56,Amex,153.49.250.99
76,76,09/15/2019,266.57,Venmo,218.70.185.104
77,77,12/07/2015,66.77,Mastercard,34.110.76.97
78,78,11/23/2017,65.10,Visa,112.134.158.107
79,79,10/08/2016,68.69,Visa,149.84.198.90
80,80,05/20/2017,250.94,Cash,
81,81,01/16/2014,128.63,Cash,
82,82,01/22/2023,207.55,Mastercard,51.213.50.56
83,83,05/22/2018,41.72,Venmo,81.8.165.137
84,84,08/29/2020,59.78,Amex,23.205.148.22
85,85,05/31/2017,66.10,Cash,
86,86,11/06/2018,50.75,Mastercard,1.253.33.123
87,87,10/10/2015,268.78,Mastercard,128.224.121.35
88,88,07/02/2015,168.49,Visa,59.243.249.207
89,89,08/23/2020,195.60,Venmo,89.202.116.3
90,90,10/31/2017,66.91,Mastercard,144.31.173.201
91,91,01/15/2019,191.51,Venmo,163.218.10.93
92,92,12/11/2020,262.99,Venmo,59.33.25.185
93,93,08/29/2022,66.73,Venmo,3.167.105.165
94,94,08/24/2014,171.23,Amex,8.169.221.55
95,95,10/01/2015,245.48,Venmo,4.195.190.195
96,96,07/27/2015,40.25,Cash,
97,97,03/08/2023,275.51,Visa,118.135.3.203
98,98,03/31/2017,99.36,Amex,110.177.192.173
99,99,02/18/2024,219.40,Amex,103.6.242.179
100,100,04/23/2024,128.05,Visa,247.22.220.62
101,101,05/27/2021,193.75,Amex,44.100.152.180
102,102,09/08/2015,238.43,Venmo,141.183.178.248
103,103,06/20/2016,167.63,Cash,
104,104,09/17/2014,299.09,Cash,
105,105,11/13/2014,213.09,Venmo,0.14.96.255
106,106,12/24/2016,258.83,Mastercard,15.20.104.40
107,107,04/07/2018,161.02,Mastercard,188.251.139.29
108,108,09/02/2022,168.93,Amex,145.114.25.187
109,109,11/15/2015,236.42,Visa,14.52.84.76
110,110,07/12/2019,129.96,Amex,42.118.237.73
111,111,12/01/2018,212.23,Visa,116.35.174.178
112,112,04/03/2014,289.26,Mastercard,194.3.177.141
113,113,08/05/2017,65.12,Cash,
114,114,09/14/2022,215.27,Venmo,87.85.161.122
115,115,04/18/2019,69.00,Visa,141.208.78.254
116,116,07/17/2021,271.37,Cash,
117,117,01/20/2018,196.81,Visa,134.99.70.134
118,118,03/06/2022,279.49,Amex,133.189.212.96
119,119,11/23/2023,173.77,Cash,
120,120,12/13/2020,202.41,Mastercard,6.245.160.108
121,121,06/19/2017,153.80,Mastercard,12.81.72.89
122,122,03/11/2022,96.44,Cash,
123,123,10/28/2019,261.66,Venmo,122.110.240.60
124,124,03/22/2023,234.19,Mastercard,146.93.94.224
125,125,06/15/2016,269.19,Mastercard,63.100.169.67
126,126,01/15/2016,230.04,Mastercard,217.139.141.153
127,127,10/03/2022,207.02,Amex,26.97.216.220
128,128,03/03/2018,49.51,Cash,
129,129,08/17/2019,101.45,Mastercard,138.45.249.17
130,130,09/06/2018,244.48,Mastercard,176.51.94.44
131,131,12/08/2021,44.09,Amex,169.56.133.15
132,132,02/26/2016,292.64,Venmo,155.48.86.70
133,133,08/10/2019,215.55,Visa,80.30.31.226
134,134,02/04/2014,178.10,Venmo,180.78.45.131
135,135,01/11/2023,163.90,Mastercard,72.170.243.227
136,136,08/18/2022,282.26,Amex,94.18.107.104
137,137,08/17/2023,221.99,Mastercard,60.59.231.199
138,138,03/29/2023,133.55,Cash,
139,139,11/23/2020,158.45,Cash,
140,140,07/22/2017,171.50,Venmo,160.48.214.214
141,141,02/03/2015,199.86,Visa,19.167.230.241
142,142,01/10/2016,118.82,Visa,231.113.86.19
143,143,12/21/2022,122.30,Venmo,89.11.221.152
144,144,09/25/2016,174.13,Amex,102.91.28.56
145,145,06/23/2015,244.43,Visa,184.247.89.77
146,146,10/08/2015,70.17,Amex,194.102.215.235
147,147,05/01/2022,222.77,Venmo,241.52.134.139
148,148,04/26/2022,44.82,Visa,103.19.48.180
149,149,01/27/2022,136.19,Visa,117.146.82.188
150,150,01/31/2016,144.07,Venmo,222.67.106.71
151,151,04/15/2023,233.35,Visa,181.249.122.142
152,152,11/03/2023,284.03,Amex,86.106.127.96
153,153,12/23/2018,180.30,Amex,167.22.186.152
154,154,08/19/2014,290.05,Visa,39.92.12.253
155,155,04/14/2016,294.18,Visa,154.95.137.12
156,156,11/19/2017,295.58,Cash,
157,157,12/17/2017,37.96,Mastercard,81.105.165.129
158,158,12/05/2022,270.76,Venmo,78.1.60.28
159,159,04/02/2014,40.55,Amex,103.132.110.167
160,160,02/21/2016,233.23,Cash,
161,161,03/05/2016,88.91,Amex,155.173.80.27
162,162,03/29/2018,148.56,Cash,
163,163,03/23/2023,180.69,Cash,
164,164,10/04/2022,53.43,Amex,55.82.157.22
165,165,06/05/2018,271.89,Venmo,34.20.248.131
166,166,08/18/2023,294.49,Amex,208.238.190.10
167,167,06/22/2014,268.00,Mastercard,100.87.188.157
168,168,08/25/2014,286.44,Cash,
169,169,02/12/2016,291.82,Cash,
170,170,03/16/2017,262.71,Venmo,152.70.219.245
171,171,12/17/2018,293.61,Venmo,44.21.178.219
172,172,05/06/2018,90.85,Visa,161.37.115.214
173,173,06/22/2020,288.84,Amex,255.96.228.40
174,174,12/17/2020,30.62,Visa,34.211.206.232
175,175,10/10/2023,85.95,Cash,
176,176,01/05/2021,285.87,Cash,
177,177,05/05/2017,210.51,Venmo,210.6.78.217
178,178,01/07/2016,243.04,Visa,78.159.232.39
179,179,04/06/2024,159.72,Amex,104.49.206.86
180,180,11/23/2017,173.57,Amex,97.27.134.20
181,181,03/08/2022,147.55,Venmo,232.196.28.100
182,182,06/20/2021,244.54,Amex,201.237.9.22
183,183,02/11/2016,217.51,Mastercard,13.17.104.26
184,184,05/31/2020,34.00,Mastercard,134.5.25.139
185,185,02/03/2020,49.16,Cash,
186,186,08/10/2014,189.07,Amex,105.212.197.107
187,187,04/11/2019,295.02,Visa,68.181.34.228
188,188,10/17/2022,119.58,Cash,
189,189,04/16/2015,190.15,Cash,
190,190,11/10/2023,142.13,Amex,30.230.65.210
191,191,02/14/2024,210.53,Cash,
192,192,10/23/2016,81.03,Amex,73.140.195.111
193,193,06/23/2018,274.22,Amex,130.84.237.246
194,194,05/02/2014,229.78,Amex,215.63.38.142
195,195,07/21/2016,117.22,Mastercard,34.75.78.42
196,196,01/29/2024,266.17,Venmo,132.119.146.59
197,197,08/05/2019,104.98,Amex,80.2.118.234
198,198,07/03/2019,80.69,Visa,255.97.104.240
199,199,12/21/2022,237.40,Visa,174.210.67.92
200,200,05/26/2022,207.71,Amex,232.19.176.161
201,201,09/23/2017,95.74,Cash,
202,202,04/16/2023,252.95,Amex,4.201.19.92
203,203,06/07/2016,144.71,Amex,183.40.242.120
204,204,06/06/2015,73.48,Cash,
205,205,07/14/2018,151.19,Amex,129.201.200.255
206,206,05/09/2021,35.00,Amex,32.4.209.87
207,207,04/27/2023,117.33,Amex,25.210.96.217
208,208,09/29/2017,232.01,Amex,186.135.243.76
209,209,04/23/2019,61.25,Venmo,156.236.137.180
210,210,04/18/2018,65.08,Visa,67.142.206.241
211,211,06/07/2015,294.18,Venmo,141.64.86.154
212,212,02/17/2016,197.79,Venmo,86.130.223.86
213,213,09/14/2023,49.57,Amex,240.49.66.10
214,214,09/26/2020,246.02,Visa,226.82.94.7
215,215,08/16/2019,206.69,Venmo,17.115.119.11
216,216,01/24/2023,208.17,Amex,211.9.10.19
217,217,07/13/2016,38.64,Venmo,91.106.86.250
218,218,10/25/2022,237.21,Mastercard,140.214.54.79
219,219,06/22/2015,75.09,Venmo,154.220.7.125
220,220,06/04/2022,277.14,Mastercard,245.87.251.138
221,221,09/04/2017,270.00,Visa,162.142.34.92
222,222,12/11/2022,150.34,Venmo,9.239.156.24
223,223,03/09/2018,280.06,Visa,5.243.76.46
224,224,09/19/2017,137.96,Venmo,73.178.54.38
225,225,06/03/2015,43.99,Mastercard,180.110.201.63
226,226,12/17/2019,35.03,Cash,
227,227,06/30/2021,264.53,Amex,136.105.107.248
228,228,11/20/2018,123.62,Amex,142.55.160.165
229,229,11/03/2020,96.55,Mastercard,93.119.254.239
230,230,08/17/2016,108.81,Cash,
231,231,11/29/2018,64.89,Visa,149.57.204.219
232,232,03/21/2022,203.16,Amex,23.58.132.79
233,233,07/03/2021,218.71,Visa,187.158.5.88
234,234,04/14/2016,95.49,Amex,1.4.162.24
235,235,11/19/2017,286.73,Venmo,223.214.126.254
236,236,03/10/2019,152.75,Venmo,129.254.217.174
237,237,09/25/2019,270.94,Cash,
238,238,11/15/2017,165.40,Cash,
239,239,06/13/2015,246.55,Venmo,155.102.171.181
240,240,05/12/2017,199.94,Cash,
241,241,09/09/2022,207.60,Cash,
242,242,08/15/2015,44.51,Cash,
243,243,04/03/2023,123.52,Venmo,69.196.43.102
244,244,08/01/2019,283.76,Visa,178.12.44.65
245,245,01/09/2021,86.32,Visa,250.90.52.23
246,246,07/30/2017,259.07,Cash,
247,247,12/21/2015,279.33,Amex,27.236.117.176
248,248,03/03/2024,295.53,Amex,147.8.141.75
249,249,12/20/2014,53.42,Venmo,135.12.206.58
250,250,01/15/2020,74.07,Venmo,46.42.212.230
251,251,02/18/2023,101.18,Cash,
252,252,05/13/2019,155.82,Mastercard,54.122.227.48
253,253,10/13/2023,180.72,Mastercard,112.142.27.146
254,254,04/01/2023,247.02,Cash,
255,255,09/12/2015,165.80,Mastercard,126.19.222.168
256,256,03/11/2019,250.77,Cash,
257,257,07/15/2014,245.89,Mastercard,41.229.142.99
258,258,10/06/2020,116.75,Amex,41.220.1.6
259,259,08/21/2016,160.03,Venmo,247.57.66.247
260,260,06/14/2015,108.99,Amex,13.91.132.82
261,261,11/24/2023,65.49,Amex,192.56.211.158
262,262,09/11/2022,103.32,Mastercard,137.186.239.72
263,263,11/15/2020,229.52,Mastercard,130.249.72.46
264,264,04/25/2021,271.33,Mastercard,201.252.195.59
265,265,12/16/2021,149.46,Mastercard,79.26.86.94
266,266,08/08/2019,218.00,Venmo,217.20.6.139
267,267,02/06/2019,115.11,Amex,135.19.129.17
268,268,02/14/2018,168.33,Amex,222.64.13.144
269,269,07/29/2022,53.20,Mastercard,56.18.211.78
270,270,03/29/2020,226.67,Visa,86.217.172.32
271,271,04/02/2021,82.10,Cash,
272,272,10/14/2017,150.48,Mastercard,142.47.4.63
273,273,07/18/2019,274.47,Cash,
274,274,11/23/2016,275.98,Amex,177.43.102.124
275,275,10/16/2015,226.72,Visa,3.73.236.38
276,276,05/27/2016,129.31,Venmo,110.204.97.219
277,277,09/05/2020,99.37,Cash,
278,278,06/15/2022,115.29,Cash,
279,279,10/08/2017,127.67,Visa,159.69.108.196
280,280,09/15/2015,70.39,Mastercard,41.20.52.74
281,281,08/17/2022,208.89,Amex,47.223.206.115
282,282,02/25/2018,275.50,Cash,
283,283,09/02/2014,118.07,Venmo,241.253.154.187
284,284,07/19/2022,194.16,Venmo,165.13.95.203
285,285,03/22/2022,143.33,Visa,237.123.249.149
286,286,04/02/2019,224.65,Visa,181.30.153.162
287,287,06/22/2017,71.27,Visa,170.49.146.236
288,288,09/16/2017,46.50,Mastercard,69.187.191.66
289,289,05/31/2023,210.74,Venmo,26.58.75.198
290,290,12/06/2020,140.19,Venmo,80.102.53.61
291,291,02/03/2016,236.69,Cash,
292,292,12/09/2020,235.38,Cash,
293,293,04/27/2022,235.36,Visa,75.107.212.155
294,294,05/19/2017,274.50,Venmo,202.127.254.14
295,295,11/16/2021,82.73,Cash,
296,296,07/24/2017,174.83,Mastercard,143.228.213.50
297,297,01/17/2021,135.53,Visa,7.173.147.69
298,298,04/15/2018,112.01,Venmo,198.74.20.121
299,299,04/25/2020,172.59,Amex,82.37.93.76
300,300,07/22/2014,74.09,Cash,
301,301,09/24/2018,54.07,Venmo,5.137.71.254
302,302,03/21/2020,80.13,Visa,140.127.140.170
303,303,12/31/2019,112.17,Venmo,251.189.185.41
304,304,09/24/2019,107.18,Visa,64.33.120.191
305,305,04/11/2017,184.70,Visa,88.35.44.116
306,306,03/15/2014,226.31,Cash,
307,307,07/23/2017,65.85,Venmo,104.206.30.193
308,308,08/18/2016,142.28,Amex,180.252.193.252
309,309,10/31/2016,162.99,Visa,242.238.179.240
310,310,11/06/2017,156.40,Mastercard,250.199.45.210
311,311,06/09/2022,118.60,Venmo,124.239.19.153
312,312,05/28/2014,293.56,Amex,180.113.232.253
313,313,08/31/2016,146.35,Mastercard,5.153.7.3
314,314,02/10/2017,99.42,Venmo,5.253.33.91
315,315,11/19/2022,279.98,Cash,
316,316,05/24/2015,169.94,Venmo,176.50.162.37
317,317,03/25/2019,278.41,Amex,138.160.168.122
318,318,02/03/2023,57.81,Venmo,224.59.106.97
319,319,04/08/2019,101.37,Cash,
320,320,12/21/2019,241.63,Amex,237.56.253.168
321,321,04/11/2020,53.16,Amex,181.34.68.83
322,322,08/27/2022,43.12,Mastercard,231.172.201.136
323,323,08/14/2020,236.10,Cash,
324,324,03/30/2016,93.13,Amex,2.42.33.246
325,325,07/15/2023,195.33,Amex,79.81.116.6
326,326,06/22/2017,196.96,Mastercard,81.209.126.69
327,327,03/15/2019,192.14,Visa,4.180.240.115
328,328,05/16/2016,245.54,Mastercard,49.35.230.204
329,329,10/26/2020,101.76,Cash,
330,330,11/23/2023,174.57,Mastercard,210.140.138.67
331,331,05/14/2016,82.20,Venmo,128.42.213.76
332,332,08/19/2017,152.50,Venmo,60.50.52.214
333,333,02/06/2015,225.13,Venmo,48.103.238.229
334,334,05/10/2016,203.91,Visa,171.21.24.145
335,335,09/28/2014,141.73,Venmo,136.234.123.126
336,336,10/15/2022,238.69,Amex,48.62.171.138
337,337,01/16/2023,197.40,Mastercard,1.223.43.30
338,338,01/26/2017,214.80,Visa,219.227.254.22
339,339,02/14/2022,84.24,Amex,166.50.45.146
340,340,02/13/2023,296.15,Visa,213.89.110.191
341,341,08/11/2017,106.58,Venmo,154.123.53.116
342,342,07/08/2021,111.70,Cash,
343,343,08/31/2020,138.11,Venmo,242.216.92.180
344,344,06/15/2014,235.27,Mastercard,211.251.212.191
345,345,07/09/2017,267.22,Venmo,138.73.221.230
346,346,01/24/2022,117.98,Cash,
347,347,08/07/2014,174.16,Mastercard,189.225.212.196
348,348,01/03/2014,97.05,Mastercard,201.44.223.170
349,349,09/17/2015,233.19,Cash,
350,350,07/20/2014,222.22,Visa,9.198.243.35
351,351,08/25/2022,152.16,Amex,64.125.81.125
352,352,11/19/2016,161.74,Visa,23.181.43.13
353,353,11/20/2014,142.91,Cash,
354,354,03/30/2019,57.52,Cash,
355,355,02/02/2019,86.07,Mastercard,15.239.145.220
356,356,04/12/2016,89.61,Amex,230.213.219.230
357,357,01/06/2017,100.04,Mastercard,142.249.72.200
358,358,09/18/2019,202.13,Visa,158.188.23.89
359,359,10/12/2014,154.22,Visa,200.41.71.153
360,360,06/21/2016,52.67,Cash,
361,361,12/13/2020,60.01,Visa,192.92.228.194
362,362,12/10/2017,128.10,Cash,
363,363,05/15/2023,108.88,Venmo,53.152.58.115
364,364,03/25/2019,193.38,Amex,123.217.77.5
365,365,03/10/2015,115.90,Mastercard,208.93.110.51
366,366,07/09/2014,109.54,Amex,1.171.20.37
367,367,01/25/2014,68.02,Venmo,58.26.164.136
368,368,09/18/2018,35.46,Visa,5.62.60.108
369,369,09/16/2020,130.05,Venmo,92.234.41.162
370,370,05/29/2021,121.09,Amex,39.165.9.116
371,371,01/10/2021,44.64,Venmo,51.143.141.125
372,372,09/01/2020,208.51,Venmo,223.61.97.139
373,373,08/16/2017,173.80,Mastercard,104.74.46.204
374,374,08/24/2021,288.26,Venmo,234.42.227.138
375,375,11/18/2021,100.80,Cash,
376,376,09/24/2017,47.78,Venmo,246.15.197.234
377,377,03/06/2016,44.35,Mastercard,5.92.8.91
378,378,10/25/2022,91.33,Venmo,42.127.118.221
379,379,04/06/2016,281.16,Mastercard,25.15.85.148
380,380,05/28/2020,38.32,Cash,
381,381,06/07/2017,75.25,Venmo,82.65.97.124
382,382,10/05/2014,67.77,Amex,139.2.66.152
383,383,12/14/2019,43.78,Visa,14.165.141.65
384,384,11/10/2018,111.51,Amex,20.75.232.31
385,385,11/18/2022,134.18,Mastercard,251.74.238.133
386,386,12/03/2015,197.20,Amex,8.118.252.13
387,387,06/11/2016,289.40,Mastercard,49.140.101.88
388,388,10/01/2022,182.55,Mastercard,182.115.82.38
389,389,08/06/2017,159.81,Venmo,24.5.159.118
390,390,11/07/2022,257.52,Venmo,1.64.1.161
391,391,03/03/2021,109.97,Visa,124.82.212.108
392,392,08/24/2016,116.34,Cash,
393,393,04/02/2024,229.92,Visa,109.18.249.79
394,394,12/25/2021,109.76,Cash,
395,395,10/29/2015,39.00,Cash,
396,396,11/03/2014,141.74,Venmo,136.34.221.165
397,397,08/24/2022,185.73,Cash,
398,398,06/05/2015,31.06,Amex,79.15.248.57
399,399,11/22/2021,132.35,Venmo,254.2.146.216
400,400,08/15/2020,142.95,Cash,
401,401,07/07/2015,136.64,Amex,111.73.245.197
402,402,09/14/2017,282.02,Mastercard,98.161.70.63
403,403,11/24/2023,99.24,Cash,
404,404,07/28/2019,47.51,Venmo,212.93.175.70
405,405,07/01/2016,273.36,Amex,146.227.218.162
406,406,03/04/2020,80.84,Cash,
407,407,05/04/2015,87.36,Mastercard,176.232.14.225
408,408,06/22/2023,62.60,Amex,88.190.144.192
409,409,06/24/2023,291.05,Venmo,70.224.124.13
410,410,03/01/2024,154.85,Cash,
411,411,01/28/2016,158.22,Visa,69.106.47.227
412,412,05/09/2023,148.40,Amex,134.189.134.97
413,413,09/12/2017,56.41,Visa,21.208.114.20
414,414,01/15/2015,269.34,Amex,17.118.8.69
415,415,10/05/2014,285.50,Cash,
416,416,11/10/2018,286.11,Mastercard,143.231.222.124
417,417,02/20/2014,122.83,Visa,121.34.254.124
418,418,02/14/2019,224.48,Amex,21.228.71.194
419,419,11/20/2021,201.99,Venmo,239.86.192.132
420,420,10/16/2017,126.93,Mastercard,106.57.229.76
421,421,01/11/2020,58.57,Visa,76.16.144.177
422,422,01/09/2014,183.72,Cash,
423,423,01/22/2015,189.01,Venmo,207.119.170.50
424,424,08/17/2018,191.64,Amex,81.158.112.118
425,425,02/10/2014,144.81,Visa,48.22.75.224
426,426,12/15/2017,252.80,Cash,
427,427,09/30/2019,203.94,Mastercard,156.50.243.78
428,428,09/10/2015,84.33,Venmo,65.192.249.32
429,429,02/06/2023,174.96,Visa,43.88.235.63
430,430,06/20/2022,239.47,Venmo,189.35.80.87
431,431,04/02/2015,123.78,Visa,237.80.86.229
432,432,07/15/2022,279.20,Cash,
433,433,04/01/2015,257.28,Amex,200.13.137.207
434,434,08/13/2022,76.51,Venmo,142.63.25.149
435,435,04/23/2018,130.71,Cash,
436,436,02/16/2022,157.51,Visa,38.22.236.197
437,437,07/30/2019,192.25,Cash,
438,438,07/14/2017,157.53,Mastercard,70.168.182.44
439,439,07/30/2019,82.40,Cash,
440,440,05/10/2020,211.55,Cash,
441,441,01/16/2019,173.60,Amex,78.186.115.0
442,442,05/04/2018,291.72,Venmo,1.208.45.190
443,443,09/12/2016,189.66,Cash,
444,444,12/27/2014,270.67,Amex,48.8.212.119
445,445,02/28/2015,216.70,Amex,194.108.66.171
446,446,05/14/2019,84.27,Mastercard,246.175.173.236
447,447,06/29/2020,278.46,Mastercard,56.88.231.31
448,448,07/05/2023,221.63,Amex,128.166.188.15
449,449,09/13/2021,60.07,Cash,
450,450,12/16/2021,296.33,Mastercard,144.167.167.115
451,451,09/16/2018,269.13,Venmo,224.0.224.226
452,452,05/11/2019,162.09,Venmo,76.204.222.242
453,453,08/11/2018,209.57,Mastercard,146.200.79.31
454,454,02/24/2022,104.25,Venmo,162.230.47.98
455,455,09/28/2021,61.95,Visa,22.79.134.220
456,456,03/18/2023,261.35,Visa,86.162.50.214
457,457,01/15/2014,233.29,Cash,
458,458,10/11/2015,170.94,Mastercard,54.19.84.230
459,459,08/09/2023,167.42,Visa,157.80.205.215
460,460,02/26/2020,67.52,Visa,189.15.229.25
461,461,11/24/2016,280.83,Mastercard,142.103.45.217
462,462,11/03/2022,226.91,Venmo,82.208.230.161
463,463,08/21/2017,101.07,Amex,15.244.4.68
464,464,05/24/2022,211.93,Cash,
465,465,08/24/2020,165.69,Amex,68.18.74.65
466,466,11/09/2021,53.26,Venmo,79.111.40.196
467,467,08/17/2014,95.58,Mastercard,232.218.140.253
468,468,06/01/2016,133.04,Venmo,222.122.190.131
469,469,06/09/2022,107.07,Amex,120.103.223.59
470,470,05/19/2021,57.77,Mastercard,185.139.237.19
471,471,08/29/2020,220.82,Visa,235.40.52.18
472,472,05/05/2014,157.07,Amex,207.104.59.70
473,473,06/20/2017,36.13,Mastercard,132.85.191.170
474,474,11/30/2015,148.32,Amex,236.174.63.187
475,475,06/11/2022,174.51,Cash,
476,476,11/01/2015,90.11,Amex,152.123.181.241
477,477,03/22/2019,97.17,Amex,227.5.63.123
478,478,05/08/2024,143.19,Venmo,188.71.231.254
479,479,09/26/2017,100.58,Amex,69.21.39.247
480,480,05/11/2021,281.57,Mastercard,229.231.120.58
481,481,03/10/2022,76.17,Cash,
482,482,08/13/2018,83.99,Visa,153.177.195.149
483,483,08/08/2018,119.13,Venmo,184.231.104.241
484,484,04/04/2018,72.88,Amex,152.158.216.110
485,485,01/14/2023,198.82,Amex,39.2.77.197
486,486,04/25/2018,234.75,Visa,55.72.232.125
487,487,07/28/2022,85.41,Visa,53.244.54.56
488,488,08/21/2018,127.74,Venmo,245.226.252.28
489,489,10/15/2022,106.79,Venmo,249.1.77.47
490,490,08/31/2015,123.79,Amex,8.68.168.158
491,491,07/01/2015,58.77,Visa,253.26.153.3
492,492,06/03/2015,55.06,Amex,247.189.238.187
493,493,06/19/2016,167.18,Visa,213.145.230.26
494,494,01/06/2014,165.52,Visa,215.7.214.198
495,495,04/07/2021,178.64,Venmo,187.144.9.237
496,496,04/17/2015,160.43,Amex,189.156.237.217
497,497,03/27/2022,91.29,Cash,
498,498,01/31/2023,205.71,Cash,
499,499,01/22/2020,183.89,Amex,62.121.25.27
500,500,05/14/2021,61.35,Amex,84.202.253.254
501,501,05/26/2019,289.55,Mastercard,1.6.142.11
502,502,02/03/2023,121.81,Cash,
503,503,06/08/2018,185.58,Amex,186.61.61.149
504,504,05/05/2018,213.09,Mastercard,240.174.223.185
